id,name,description,price,promo_price,image_file,is_featured,category_id,installment_info,colors,models
74,Smartphone Poco C71  128gb e 4gb de Ram ,"-Tela LCD de 6.88"".
-Câmera frontal de 8Mpx.
-Processador UNISOC T7250 Octa-Core de 1.8GHz com 4GB de RAM.
-Bateria de 5.2 Ah.
-Memória interna de 128GB.
-Com reconhecimento facial e sensor de impressão digital.",899.90,699.90,26ec7df0e8faa4cf,True,11,"18X 38,88",,
54,"Caixa de Som Amplificada Amvox ACA 880 Vegas 880W Woofer 15"" SFM","-Adequado para uso ao ar livre.
-Possui conectividade Bluetooth.
-Possui luzes LED.
-Bateria recarregável.
-Potência de 880W.
-Quantidade de alto-falantes: 2.
Ideal para escutar as suas músicas favoritas.
A duração da bateria depende do uso que se dê ao produto.
-Tipo de alto-falante: woofer e tweeter.",1099.90,999.90,e3fb9dc736d47c9a,False,10,"18x de 55,55",Vermelho ,Amvox 
76,Fones De Ouvido Bluetooth Tws Realme Buds T01 Cor Preto,"O que você precisa saber sobre este produto
Quantidade de pares: 1.
Conectividade Bluetooth 5.3 para conexão rápida e estável.
Driver dinâmico de 10mm para som potente e envolvente.
Autonomia de até 20 horas com a caixa de carregamento.
Microfone embutido com redução de ruído ambiente.
Certificação IPX4 para resistência à água e suor.
Controles sensíveis ao toque para controles práticos.",199.90,169.90,704393cb37ca3d85,False,4,"18x de 9,43",Preto,
80,Fone de ouvido over-ear gamer Havit H2232D 2xP2,"O que você precisa saber sobre este produto
Quantidade de pares: 1.
Microfone flexível incorporado.
Resistentes à poeira.
O comprimento do cabo é de 2.2m.
Uso adequado para profissional.
Som superior e ilimitado.
Confortáveis e práticos.
COMPATIBILIDADE APENAS COM PC (para PS3/PS4/XBOX , necessário de um adaptador)
Tamanho do alto-falante: 5 cm.",199.90,119.90,da88a3e98bb989d8,False,4,"3x de 39,66",Preto,
82,Headphone Bluetooth Confortável Bateria 18h Amvox- Ahp 2401 Cor Preto,"O que você precisa saber sobre este produto
Quantidade de pares: 1.
Tem cancelamento de ruído.
Inclui microfone.
O comprimento do cabo é de 0.35cm.",299.90,239.90,8de92c3e11b3b1e7,False,4,"3x de 79,76",Preto ,
79,Fone de Ouvido Headphone AIWA AWS-HP-03-B Bluetooth bateria com até 100 horas de duração,"O que você precisa saber sobre este produto
Quantidade de pares: 1.
Driver de 30 mm para graves marcantes e agudos precisos.
Autonomia de até 100 horas de uso contínuo.
Conexão dupla para smartphone e notebook simultaneamente.
Bluetooth 5.2 para áudio estável e de alta qualidade.
Microfone de qualidade superior para chamadas nítidas.
Design dobrável e compacto para fácil transporte.",249.90,199.90,e5c174e02cc7eea3,False,4,"3x de 66,33","Preto, Lilás",
77,Xiaomi Smart Band Band 9 Active Monitoramento Saude 5atm ,"O que você precisa saber sobre este produto
Material da caixa do smartwatch : Plástico.
Cor da pulseira: Preto.
Material da pulseira: Silicone.
Versão do smartwatch: Sport.
Cor da caixa: Preto.
Suporta até 50m debaixo d'água.
Conectividade Bluetooth.",499.90,359.90,3286645ec1888eda,False,1,"18x de 19,43",Preto,
78,Relógio Smartwatch Gs10 Ultra Mini 2pulseiras Amoled Série10,"Smartwatch GS10 Ultra Mini – Tecnologia e Sofisticação em um Design Compacto
O GS10 Ultra Mini Series 10 41mm é o mais novo lançamento da Microwear, projetado para quem busca um smartwatch sofisticado, compacto e cheio de funcionalidades. Com um design minimalista e detalhes refinados, ele combina tecnologia avançada com praticidade, sendo ideal para pulsos mais finos. Seu display de 1,61” HD proporciona alta resolução, enquanto os recursos de monitoramento de saúde, esportes e comunicação tornam esse modelo um verdadeiro assistente no dia a dia.

Destaques do GS10 Ultra Mini
• Design compacto e sofisticado: Dimensões de 41mm, perfeito para quem prefere um modelo menor e mais confortável.
• Tela infinita HD 1,61”: Alta resolução para melhor visibilidade e experiência de uso.
• Ilha Dinâmica: Exibe notificações, chamadas e controle de mídia de forma interativa.
• Alto-falantes pontilhados: Qualidade de áudio aprimorada para chamadas e assistente de voz.
• Trava e parafusos reais: Detalhes sofisticados para um visual premium.
• Personalização avançada: Troca de pulseiras compatíveis com tamanhos 38/40/41mm e diversas opções de watch faces atualizadas.
• Bateria de longa duração: Autonomia de até 2 dias, dependendo do uso.

Funcionalidades Inteligentes
• Faz e recebe chamadas via Bluetooth: Comunicação facilitada sem precisar pegar o celular.
• Assistente de voz integrado: Compatível com comandos para facilitar tarefas do dia a dia.
• Chat GPT integrado: Pequenas respostas e interações diretamente na tela do smartwatch.
• GPS integrado ao APP: Monitore atividades ao ar livre e visualize o trajeto direto no pulso.
• Modo massagem e treino de respiração: Auxilia no alívio do estresse e melhora o bem-estar.
• Ilha de notificações: Acesso rápido a mensagens, redes sociais e alertas de aplicativos.
• Atalho dinâmico personalizável: Configure as funções mais utilizadas para acesso rápido.
• Girar o pulso para ligar a tela: Praticidade para visualizar o relógio sem tocar no botão.

Monitoramento de Saúde e Bem-Estar
• Frequência cardíaca em tempo real: Acompanhamento contínuo da saúde cardiovascular.
• Oxigenação do sangue (SpO2): Mede os níveis de oxigênio no sangue para maior controle da saúde.
• Monitoramento do sono: Analisa padrões de sono leve, profundo e REM.
• Monitoramento da saúde feminina: Registro do ciclo menstrual, período fértil e gestação.
• Lembrete de sedentarismo e hidratação: Alertas para manter hábitos saudáveis.
• Análise semanal de saúde no APP: Relatórios completos para acompanhamento da evolução.

Recursos para Atividades Físicas
• Modos esportivos diversificados: Monitoramento de caminhada, corrida, ciclismo, entre outros esportes.
• Contador de passos e calorias: Acompanhe suas metas de atividade diária.
• Monitoramento de distância e tempo: Ideal para treinos com acompanhamento em tempo real.

Conectividade e Entretenimento
• Bluetooth independente: Conecte fone de ouvido diretamente ao smartwatch sem precisar do celular.
• Controle remoto da câmera: Tire fotos sem precisar tocar no celular.
• Music Player com memória interna: Reproduza músicas diretamente do smartwatch.
• Armazenamento de fotos: Guarde imagens diretamente no dispositivo.
• Modo de jogos interativo: Opções de jogos rápidos para entretenimento.

Outras Funcionalidades
• Coroa giratória funcional: Interação mais intuitiva e ágil.
• Bloqueio de tela por senha: Proteção extra para seus dados.
• Calculadora e calendário integrados: Recursos úteis para o dia a dia.
• Chamada SOS de emergência: Maior segurança para situações inesperadas.
• Modo não perturbe: Configuração para evitar interrupções em momentos específicos.

Resistência e Bateria
• Resistência à água IP67: Proteção contra poeira e respingos d’água.
• Bateria de longa duração: Autonomia de até 2 dias, variando conforme o uso.
• Recomendações de carregamento: Não utilizar carregadores de carga rápida (turbo) para preservar a bateria.

Itens Inclusos na Caixa
• 1x Smartwatch GS10 Ultra Mini 41mm
• 1x Pulseira Oceano de Silicone
• 1x Pulseira de Aço Inoxidável
• 1x Carregador por indução
• 1x Manual do Usuário",249.90,199.90,5d92ec995cd276fb,False,1,"18x de 11,10",Preto,
84,Relógio Smartwatch A10 Mini A Prova D'água Gps E 2 Pulseira,"Smartwatch Aurafit A10 Mini – Tecnologia, Conforto e Estilo em Um Só Relógio

Importante: Os smartwatches da linha Aurafit não são indicados para uso no mar nem durante banhos quentes, pois a exposição à água salgada e ao vapor pode danificar o produto e comprometer sua durabilidade.

O Smartwatch Aurafit A10 Mini combina design moderno, recursos inteligentes e um desempenho confiável em um dispositivo compacto e versátil. Projetado para quem busca praticidade no dia a dia sem abrir mão da elegância, ele conta com uma tela AMOLED de alta definição, corpo ergonômico e duas pulseiras intercambiáveis que se adaptam ao seu estilo, seja para ocasiões casuais ou para momentos de treino. Com funcionalidades que permitem atender chamadas, visualizar notificações, controlar músicas e monitorar sua saúde, ele transforma seu pulso em um centro de comando completo, mantendo você sempre conectado e no controle.

Seu sistema de conectividade Bluetooth e Wi-Fi garante sincronização rápida com smartphones Android e iOS, permitindo integração fluida com diversos aplicativos. O Aurafit A10 Mini ainda oferece resistência à água, tornando-se um aliado confiável em diversas situações do cotidiano. Seja no trabalho, nos estudos, em viagens ou na prática de esportes, ele acompanha seu ritmo com eficiência, conforto e estilo.

Características Técnicas

• Tela AMOLED de 1.75”: Alta definição com resolução de 240x296px, cores vibrantes e excelente resposta ao toque.
• Design moderno e versátil: Dimensões compactas de 41x38x13mm, ideal para o uso diário com conforto prolongado.
• Compatível com Android e iOS: Sincronização rápida e estável por meio de aplicativo dedicado.
• Bluetooth integrado: Permite atender chamadas, ler mensagens e controlar funções do celular diretamente no relógio.
• Conectividade Wi-Fi: Garante atualizações ágeis e melhor integração com recursos online.
• Memória interna de 128MB: Armazena dados de saúde, históricos de atividades e aplicativos internos.
• Pulseiras inclusas: Acompanha duas pulseiras — uma em silicone e outra em nylon — nas cores preta e prata, para diferentes estilos.
• Resistente à água: Pode ser utilizado em ambientes úmidos, com proteção contra respingos e suor.

Recursos Inteligentes

• Monitoramento de saúde completo: Mede batimentos cardíacos, pressão arterial, oxigenação no sangue (SpO2) e qualidade do sono.
• Modos esportivos variados: Ideal para atividades como caminhada, corrida, ciclismo, entre outras práticas físicas.
• Barômetro e altímetro integrados: Monitoramento preciso de altitude e pressão atmosférica, útil em trilhas e esportes ao ar livre.
• Acesso prático a aplicativos: Inclui recursos como previsão do tempo, alarmes, cronômetro, calculadora e calendário.
• Controle de mídia: Controle músicas e acione a câmera do seu smartphone com toques rápidos no relógio.
• Localizador de telefone: Função “Find Phone” que ajuda a encontrar o celular rapidamente, emitindo sinal sonoro.
• Respiração guiada: Exercícios de respiração para alívio do estresse e relaxamento durante o dia.

Conteúdo da Embalagem

• 01x Smartwatch Aurafit A10 Mini
• 02x Pulseiras (1 em silicone + 1 em nylon)
• 01x Carregador magnético
• 01x Manual do usuário
• 01x Caixa original",299.90,249.90,3751c432c2e38d5f,False,1,"18x de 13,88",Azul,
83,Fone Ouvido Headphone Amvox Ahp 1209 Bateria 12h E Bluetooth,"O que você precisa saber sobre este produto:

Quantidade de pares: 1.
Inclui microfone.
Som superior e ilimitado.
Confortáveis e práticos.
O comprimento do cabo é de 0.4 cm.",199.90,149.90,060f7e32eafaf009,True,4,"3x de 49,96",Preto,
89,Fone Aurabuds X5l Tela Amoled Inteligente Esporte,"Transforme sua rotina de treino com o AuraFit X5L, o modelo que une tecnologia de ponta, conforto e durabilidade em um só produto. Desenvolvido para quem busca máxima performance e não abre mão de estilo, o X5L é a escolha perfeita para elevar seus resultados.

Design moderno e ergonômico – pensado para se ajustar perfeitamente ao corpo, garantindo liberdade de movimento.
Material de alta resistência – leve, respirável e durável, ideal para uso diário.

Tecnologia AuraDry – mantém o corpo seco, ajudando na ventilação e regulagem térmica durante os treinos mais intensos.
Versatilidade – perfeito para academia, corrida, ciclismo, crossfit ou até mesmo para compor looks casuais esportivos.
Conforto superior – costuras reforçadas e acabamento premium que não irritam a pele.

Com o AuraFit X5L, cada treino se torna uma experiência única.
Ideal para quem quer desempenho, estilo e resistência no dia a dia.",399.90,369.90,1d10d08875e07716,True,4,"18x de 20,41",Preto,
90,Fone Ouvido Aurabuds X6  Bluetooth Tela Touch Screen 512mb Preto Fone Ouvido Aurabuds X6 Bluetooth ,"Fone de Ouvido AuraBuds X6 – Tecnologia, Estilo e Qualidade em um Só Produto!

Eleve sua experiência musical com o AuraBuds X6, o fone de ouvido sem fio que une design futurista e recursos exclusivos para transformar seu dia a dia.

Principais Diferenciais:
Estojo com tela sensível ao toque, moderno e prático.
512MB de armazenamento interno para salvar músicas e fundos de tela sem precisar do celular.
Qualidade de som premium com modos personalizados: Jazz, Vocal, Bass, Clube e Estúdio
Sensor Hall inteligente: a tela acende ao abrir o estojo e desliga automaticamente ao fechar.
Bateria de longa duração e design leve e ergonômico para uso prolongado.
Versatilidade com modos Música, Jogo e Áudio, oferecendo desempenho em qualquer situação.

Indicado para
Ouvir músicas sem depender de internet.
Jogadores que buscam resposta rápida e áudio imersivo.
Quem valoriza praticidade e estilo no dia a dia.
Ótima opção de presente moderno e diferenciado.

O AuraBuds X6 não é apenas um fone de ouvido. É um acessório de tecnologia e estilo, feito para quem exige mais do som e da vida.",359.90,299.90,a6a5e49a584aea31,False,4,"18x de 16,66",Preto,
87,Smartwatch Aurafit Am34 Amoled Gps Prova D'agua 2 Pulseiras Prateado Esportiva ,"O que você precisa saber sobre este produto
Desenho da pulseira: Esportiva
Cor do bisel: Prateado
Cor da pulseira: Azul-escuro
Cor da caixa: Prateado
Material da caixa do smartwatch : Titânio
Material da pulseira: Silicone
Versão do smartwatch: Smartwatch Aurafit Prova
Memória interna do 256MB e RAM de 256MB.
Com conectividade via Bluetooth.
Bateria de 330 h de duração.
Suporta até 0cm debaixo d'água.
Com tela Amoled.",379.90,329.90,6e78c58cf190b010,False,1,"18x de 18,32","Preto, Azul ",
88,Smartwatch G12 Gps Strava Amoled Prova D'água Aurafit,"O que você precisa saber sobre este produto
Material da caixa do smartwatch : ABS
Desenho da pulseira: Liso
Cor do bisel: Preto
Cor da pulseira: Preto
Material da pulseira: Silicone
Versão do smartwatch: G12 Aurafit com STRAVA
Cor da caixa: Preto
Memória interna do 2GB e RAM de 2GB.
Com conectividade via Bluetooth.
Bateria de 5 dias de duração.
Suporta até 30m debaixo d'água.
Com GPS integrado.
Com tela AMOLED.",579.90,529.90,ac726cc89798cdf8,False,1,"18x de 32,21",Preto,
86,Relógio Smartwatch Aurafit A10c Tela 2.02 Esporte 2 Pulseira,"Características do Produto

• Estrutura metálica ultrafina: Apenas 9,5mm de espessura, garantindo leveza e sofisticação.
• Tela de 2.0 inches: Display nítido, brilhante e de fácil visualização em qualquer ambiente.
• Interface moderna estilo WatchOS: Menus fluidos, práticos e mostradores personalizáveis.
• Inteligência Artificial integrada: Comandos de voz com respostas rápidas e funcionais.
• Motor tátil de vibração múltipla: Alertas diferenciados para chamadas, mensagens e notificações.
• Monitoramento de sono avançado: Análise detalhada da qualidade do sono com gráficos completos.
• Suporte para 150 atividades físicas: Registro preciso com métricas em tempo real.
• Resistência IP68: Proteção contra suor, respingos e chuva leve.
• Bateria durável: Até 8 dias de autonomia com modo de economia de energia.
• Carregamento magnético sem fio: Base inclusa para maior praticidade.

Funções Inteligentes

• Comando por voz inteligente: Controle rápido e prático de recursos.
• Relatórios completos de saúde: Monitoramento de batimentos cardíacos, sono, estresse e bem-estar.
• Acompanhamento esportivo em tempo real: Métricas personalizadas conforme cada atividade.
• Vibração ajustável: Alertas eficientes para notificações importantes.
• Exibição de notificações: Visualize mensagens, chamadas e alertas de aplicativos direto no pulso.
• Sistema rápido e responsivo: Alta precisão ao toque e navegação intuitiva.

Especificações Técnicas

• Tela: Display de 2.0 inches.
• Espessura: Apenas 9,5mm.
• Peso: 24,5g (relógio) e 36,6g (com pulseira).
• Chipset: JL7012A6S, com eficiência e baixo consumo.
• Conectividade: Bluetooth BLE 5.3 + BT 3.0.
• Bateria: 270mAh com até 8 dias de duração.
• Resistência: Certificação IP68 (não indicado para uso no mar ou banhos quentes).
• Carregamento: Magnético sem fio (base inclusa).
• Cores da pulseira: Preto, cinza prateado e ouro rosa.
• Compatibilidade: Android e iOS via aplicativo dedicado.",299.90,249.90,d1bdd132642b780b,False,1,"18x de 13,88",Azul,
91,Alexa Amazon Echo Pop Smart Assistente Virtual,"O que você precisa saber sobre este produto
Com reconhecimento de voz.
Opção de sistema de áudio multi-room.
Conexão Wi-Fi e Bluetooth.
Opera em português e inglês.
Compatível com: Android, Fire OS, iOS.",459.90,399.90,11961ba5c070fa38,True,12,"18x de 22,21",Lavanda,
92,"Smartwatch Aurafit AM12 Ella1 Feminino Redondo A Prova Dagua,moderno,ip68","O Relógio Smartwatch Aurafit Feminino, o companheiro ideal para quem busca praticidade e estilo. Com uma tela de 1,32 polegadas, este smartwatch combina design sofisticado com funcionalidades modernas, tornando-o uma escolha perfeita para mulheres ativas. O modelo AM12 é resistente à água, garantindo que você possa usá-lo em diversas situações, desde atividades físicas até o dia a dia.

Equipado com Bluetooth e Wi-Fi, o Aurafit permite fácil conexão com dispositivos Android e iOS, proporcionando a liberdade de receber notificações e mensagens diretamente no seu pulso. Além disso, sua função de GPS possibilita acompanhar suas rotas com precisão, enquanto recursos como calendário, despertador e lembrete de chamadas oferecem uma experiência completa.

O Relógio Smartwatch Aurafit é a escolha perfeita para quem valoriza tecnologia e estilo no cotidiano. Adote um estilo de vida mais conectado e produtivo, sem abrir mão da elegância. Aproveite a experiência de ter um assistente pessoal ao seu alcance e descubra um mundo de possibilidades na palma da sua mão.

OBS: Duração de bateria de acordo com modo de uso de cada cliente.
- Função NFC apenas para QRcode abertura de portas etc, não disponível para pagamentos via
cartão de crédito.",399.90,349.90,caaf0792349d9c43,False,1,"18x de 19,43",Rosa,
57,Smartphone Infinix Hot 50i 4GB RAM 256GB 4G Câmera Dupla 48MP+ Selfie 8MP ,"Principais características: 

256GB de armazenamento interno
6GB de memória RAM
Tela de 6.7 Polegadas
Câmera traseira de 48MP
Câmera frontal de 8 Mp
Bateria de 5000 mAh

Descrição e ficha técnica:

O Infinix Hot 50i é um smartphone Android completo, que não tem muito a invejar aos mais avançados dispositivos. Surpreendente é sua tela Touchscreen de 6.7 polegadas, que coloca esse Infinix no topo de sua categoria. A resolução também é alta: 1600x720 pixel. Quanto às funções, no Infinix Hot 50i realmente não falta nada. Começando pelo conectividade Wi-fi e GPS. A transferência de dados e navegação web sao fornecidas pela rede UMTS, mas não suporta tecnologias mais recentes, tais como HSDPA. Enfatizamos a boa memória interna de 256 GB com a possibilidade de expansão.

Este Infinix Hot 50i é um produto com poucos concorrentes em termos de multimídia graças à câmera de 48megapixels que permite ao Infinix Hot 50i tirar fotos fantásticas com uma resolução de 8165x6124 pixels e gravar vídeos em alta definição (Full HD) com uma resolução de 1920x1080 pixels. Muito fino, 8.1milímetros, o que torna o Infinix Hot 50i realmente interessante.",1149.90,849.90,dd50f7970bf53c8d,False,11,"18x de 63,83",Preto,
43,Caixa de Som Aiwa Boombox Plus AWS-BBS-01-B Bluetooth Amplificada 200W USB,"-SOM DE ALTA DEFINIÇÃO COM 3 VIAS: Projetado com o sistema de som de 3 vias, a Boombox possui 1 subwoofer, 2 midrange e 2 tweeters, além de 3 amplificadores de áudio um para cada canal (grave, médio e agudo);
-POTÊNCIA: Sinta a experiência sonora impactante com os 200W RMS de potência da caixa de som portátil AIWA;
-RADIADORES PASSIVOS: A Boombox conta com dois radiadores passivos laterais, que atuam em conjunto com os alto-falantes para aprimorar a propagação do som;
-PROTEÇÃO IP66: Caixa de som duplamente protegida: check! O certificado IP66 garante resistência a jatos potentes de água e resistência total contra poeira;
-ATÉ 30 HORAS DE BATERIA: Com até 30 horas de bateria, você pode ouvir suas playlists o dia todo e ainda noite adentro, sem precisar recarregar;",2199.90,1899.90,8bbd3f6bfaf4e25a,False,10,"18x 105,55",Preto,
93,Headphone AirPods Max 2,"Cancelamento de ruído
Áudio Espacial
",249.90,199.90,e61d244653c94457,False,4,"18x de 11,10",Prata,
96,Starlink Mini Internet Sem Fio Via Satélite ,"O Kit Starlink Mini Internet via Satélite é a solução perfeita para quem precisa de internet confiável
em qualquer lugar. Com tecnologia de ponta e instalação simples, o dispositivo garante
conectividade mesmo em áreas remotas, ideal para veículos, trailers, barcos e viagens. Sua
portabilidade e alta performance tornam o uso prático e eficiente, com sinal estável e baixa latência
em movimento.

Benefícios:
-Mobilidade total – leve internet para qualquer lugar sem perder sinal.
-Design compacto e leve – fácil de instalar e transportar.
-Alta performance satélite – conexão estável com baixa latência.
- Uso veicular aprovado – funciona em movimento de até 160 km/h.
- Cobertura marítima – ideal para uso em barcos e zonas costeiras.
- Instalação plug & play – simples, rápida e prática.

Ficha Técnica:

Produto: Starlink Mini – Internet via Satélite Portátil
Área de uso - Veicular, Viagens, Motorhomes, Barcos.
Velocidade Máxima Download - 150 Mb/s
Latência: Baixa / Otimizada
Alimentação / energia: Fonte Padrão Br 100/220V
Velocidade de movimento suportada: 160 km/h
Cobertura marítima: Até 22,2 km da costa
Peso / dimensões: 1.100 g - 30 x 26 x 4 cm
Itens inclusos: Antena Mini , Cabo de Alimentação DC de 15 Metros, Fonte Padrão Br Tomada 100/220V
Uso recomendado: Uso Móvel, Viagens terrestres, Marítimas.

- Avisos Importantes

Produto eletrônico – evite exposição à água e umidade.
Verifique compatibilidade de energia (12V ou 24V) no veículo.
Em regiões fora da cobertura, o sinal pode sofrer interrupções.
Uso em alto-mar pode ter restrições dependendo do plano.
A performance pode variar conforme a estabilidade do veículo.",849.90,,6e137c056f7cacd1,True,12,,Branco,Starlink
97,Smartphone Xiaomi Poco C85,"6GB de RAM / 128 GB de Armazenamento
Bateria para não se preocupar com a próxima carga
Com uma bateria de longa duração de 6000mAh, você fica longe das tomadas e aproveita mais horas fazendo o que ama.

Tela fluida, vibrante e envolvente
Com 6,9 polegadas para imersão e fluidez impressionante com até 120Hz, ideal para jogos e entretenimento.

Diga adeus à espera com carregamento
Com carregamento turbo de 33W, você volta à ativa em menos tempo e com energia de sobra. Chega de longas esperas na tomada.

Fotos em alta resolução, mais memória e processador
A câmera dupla de 50M com IA, entrega fotos nítidas, somada ao processador octa-core, você ganha velocidade e fluidez em tudo.

Tudo isso com acesso à livros digitais que somente a Xiaomi oferece.",1199.90,1049.90,b67740603469210a,True,11,"18x de 58,32",Verde,
94,Xiaomi Poco X7 Pro 8gb Ram 256gb Global 5g 50mp Nfc ,"O que você precisa saber sobre este produto:

Marca Xiaomi
Linha POCO
Compatível com redes 5G.
Memória interna de 256GB.
memoria ram: 8 gb
É Dual SIM
Rede móvel 5G",2699.90,2649.90,1076fd76c196a90b,True,11,"18x de 44,99",,
44,Caixa de Som Speaker AIWA AWS-SP-03-B Bluetooth IPX4 RGB ,"-Tipo de alto-falante: woofer.
-Possui conectividade Bluetooth.
-Possui luzes LED.
-Bateria recarregável e carregador incluído.
-Potência de 15W.
-Dimensões: 11.3cm de largura, 13.3cm de altura e 11.6cm de profundidade.
-Tempo de carga da bateria: 3h.",349.90,249.90,7156424e581e113c,False,10,"18x de 13,83","Preto, Azul",
63,Celular Realme C75x 128gb 6gb Ram Nfc Ip69 ,"-Memória RAM: 8 GB.
-Tela IPS LCD de 6.72"".
-Câmeras frontais de 8Mpx.
-Processador G81 Octa-Core de 2.4GHz com -8GB de RAM.
-Bateria de 5.828 Ah.
-Memória interna de 256GB.
-A prova d'água.
-Com sensor de impressão digital.
Resistente a poeira e as quedas.",1249.90,1199.90,5f6c835c9e26fc6b,False,12,"18X 66,61",,
62,Celular Realme C71 Smartphone 128gb 4gb Branco,"-Processador: Chipset Unisoc T7250.
Memória: 4 GB de RAM e 128 GB de armazenamento interno. 
-Tela: IPS LCD de 6,67 polegadas com resolução HD+ (1604 x 720 pixels) e taxa de atualização de 120 Hz. 
-Dimensões: 165.8 x 75.9 x 7.8 mm e peso de 196 gramas. 
-Conectividade: 4G, NFC, Bluetooth 5.2 e entrada USB-C.",1599.90,1299.90,b759c6c7996bf6ee,True,11,"18x de 72,21",,
